data,evento,tipo
2025-01-01,Confraternização mundial,feriado_oficial
2025-03-04,Carnaval,feriado_oficial
2025-03-15,Dia do Consumidor,comercial
2025-04-18,Sexta-feira Santa,feriado_oficial
2025-04-20,Páscoa,feriado_oficial
2025-04-21,Tiradentes,feriado_oficial
2025-05-01,Dia do trabalho,feriado_oficial
2025-05-11,Dia das Mães,comercial
2025-06-12,Dia dos Namorados,comercial
2025-06-19,Corpus Christi,feriado_oficial
2025-08-10,Dia das Pais,comercial
2025-09-07,Independência do Brasil,feriado_oficial
2025-10-12,Nossa Senhora Aparecida,feriado_oficial
2025-11-02,Finados,feriado_oficial
2025-11-15,Proclamação da República,feriado_oficial
2025-11-20,Dia da consciência negra,feriado_oficial
2025-11-28,Black Friday,comercial
2025-12-25,Natal,feriado_oficial
